,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family_size,ischild,male,Second,Third
599,1,1,male,49.0,1,0,56.9292,C,First,man,True,A,Cherbourg,yes,False,2,0,1,0,0
362,0,3,female,45.0,0,1,14.4542,C,Third,woman,False,,Cherbourg,no,False,2,0,0,0,1
520,1,1,female,30.0,0,0,93.5,S,First,woman,False,B,Southampton,yes,True,1,0,0,0,0
157,0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
807,0,3,female,18.0,0,0,7.775,S,Third,woman,False,,Southampton,no,True,1,0,0,0,1
536,0,1,male,45.0,0,0,26.55,S,First,man,True,B,Southampton,no,True,1,0,1,0,0
531,0,3,male,33.17312348668281,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,1,0,1,0,1
227,0,3,male,20.5,0,0,7.25,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
866,1,2,female,27.0,1,0,13.8583,C,Second,woman,False,,Cherbourg,yes,False,2,0,0,1,0
669,1,1,female,32.0,1,0,52.0,S,First,woman,False,C,Southampton,yes,False,2,0,0,0,0
888,0,3,female,32.0,1,2,23.45,S,Third,woman,False,,Southampton,no,False,4,0,0,0,1
593,0,3,female,32.0,0,2,7.75,Q,Third,woman,False,,Queenstown,no,False,3,0,0,0,1
401,0,3,male,26.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
80,0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
707,1,1,male,42.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True,1,0,1,0,0
128,1,3,female,32.0,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,3,0,0,0,1
275,1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False,2,0,0,0,0
420,0,3,male,33.17312348668281,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,1,0,1,0,1
587,1,1,male,60.0,1,1,79.2,C,First,man,True,B,Cherbourg,yes,False,3,0,1,0,0
883,0,2,male,28.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
677,1,3,female,18.0,0,0,9.8417,S,Third,woman,False,,Southampton,yes,True,1,0,0,0,1
568,0,3,male,33.17312348668281,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,1,0,1,0,1
260,0,3,male,33.17312348668281,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,1,0,1,0,1
731,0,3,male,11.0,0,0,18.7875,C,Third,child,False,,Cherbourg,no,True,1,1,1,0,1
556,1,1,female,48.0,1,0,39.6,C,First,woman,False,A,Cherbourg,yes,False,2,0,0,0,0
560,0,3,male,33.17312348668281,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,1,0,1,0,1
430,1,1,male,28.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True,1,0,1,0,0
819,0,3,male,10.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,6,1,1,0,1
300,1,3,female,32.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,1,0,0,0,1
485,0,3,female,32.0,3,1,25.4667,S,Third,woman,False,,Southampton,no,False,5,0,0,0,1
406,0,3,male,51.0,0,0,7.75,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
858,1,3,female,24.0,0,3,19.2583,C,Third,woman,False,,Cherbourg,yes,False,4,0,0,0,1
245,0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False,3,0,1,0,0
387,1,2,female,36.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,1,0,0,1,0
299,1,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False,2,0,0,0,0
799,0,3,female,30.0,1,1,24.15,S,Third,woman,False,,Southampton,no,False,3,0,0,0,1
761,0,3,male,41.0,0,0,7.125,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
31,1,1,female,32.0,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,2,0,0,0,0
694,0,1,male,60.0,0,0,26.55,S,First,man,True,,Southampton,no,True,1,0,1,0,0
153,0,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False,3,0,1,0,1
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,1,0,0,0,1
728,0,2,male,25.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,2,0,1,1,0
795,0,2,male,39.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
738,0,3,male,33.17312348668281,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
818,0,3,male,43.0,0,0,6.45,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
236,0,2,male,44.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,2,0,1,1,0
604,1,1,male,35.0,0,0,26.55,C,First,man,True,,Cherbourg,yes,True,1,0,1,0,0
114,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True,1,0,0,0,1
341,1,1,female,24.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,6,0,0,0,0
614,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
388,0,3,male,33.17312348668281,0,0,7.7292,Q,Third,man,True,,Queenstown,no,True,1,0,1,0,1
823,1,3,female,27.0,0,1,12.475,S,Third,woman,False,E,Southampton,yes,False,2,0,0,0,1
303,1,2,female,32.0,0,0,12.35,Q,Second,woman,False,E,Queenstown,yes,True,1,0,0,1,0
625,0,1,male,61.0,0,0,32.3208,S,First,man,True,D,Southampton,no,True,1,0,1,0,0
265,0,2,male,36.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
353,0,3,male,25.0,1,0,17.8,S,Third,man,True,,Southampton,no,False,2,0,1,0,1
285,0,3,male,33.0,0,0,8.6625,C,Third,man,True,,Cherbourg,no,True,1,0,1,0,1
666,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
760,0,3,male,33.17312348668281,0,0,14.5,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
553,1,3,male,22.0,0,0,7.225,C,Third,man,True,,Cherbourg,yes,True,1,0,1,0,1
442,0,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,no,False,2,0,1,0,1
288,1,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,yes,True,1,0,1,1,0
156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True,1,0,0,0,1
99,0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,2,0,1,1,0
563,0,3,male,33.17312348668281,0,0,8.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
504,1,1,female,16.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,1,0,0,0,0
711,0,1,male,33.17312348668281,0,0,26.55,S,First,man,True,C,Southampton,no,True,1,0,1,0,0
705,0,2,male,39.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
664,1,3,male,20.0,1,0,7.925,S,Third,man,True,,Southampton,yes,False,2,0,1,0,1
621,1,1,male,42.0,1,0,52.5542,S,First,man,True,D,Southampton,yes,False,2,0,1,0,0
744,1,3,male,31.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True,1,0,1,0,1
154,0,3,male,33.17312348668281,0,0,7.3125,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,2,0,1,0,0
321,0,3,male,27.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
186,1,3,female,32.0,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,2,0,0,0,1
550,1,1,male,17.0,0,2,110.8833,C,First,man,True,C,Cherbourg,yes,False,3,0,1,0,0
164,0,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,6,1,1,0,1
817,0,2,male,31.0,1,1,37.0042,C,Second,man,True,,Cherbourg,no,False,3,0,1,1,0
457,1,1,female,32.0,1,0,51.8625,S,First,woman,False,D,Southampton,yes,False,2,0,0,0,0
577,1,1,female,39.0,1,0,55.9,S,First,woman,False,E,Southampton,yes,False,2,0,0,0,0
84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,1,0,0,1,0
289,1,3,female,22.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,1,0,0,0,1
217,0,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False,2,0,1,1,0
383,1,1,female,35.0,1,0,52.0,S,First,woman,False,,Southampton,yes,False,2,0,0,0,0
12,0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,1,0,0,1,0
439,0,2,male,31.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
416,1,2,female,34.0,1,1,32.5,S,Second,woman,False,,Southampton,yes,False,3,0,0,1,0
789,0,1,male,46.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,1,0,1,0,0
342,0,2,male,28.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
670,1,2,female,40.0,1,1,39.0,S,Second,woman,False,,Southampton,yes,False,3,0,0,1,0
363,0,3,male,35.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
576,1,2,female,34.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,1,0,0,1,0
402,0,3,female,21.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False,2,0,0,0,1
851,0,3,male,74.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
642,0,3,female,2.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,6,1,0,0,1
386,0,3,male,1.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,8,1,1,0,1
199,0,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True,1,0,0,1,0
446,1,2,female,13.0,0,1,19.5,S,Second,child,False,,Southampton,yes,False,2,1,0,1,0
380,1,1,female,42.0,0,0,227.525,C,First,woman,False,,Cherbourg,yes,True,1,0,0,0,0
193,1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,3,1,1,1,0
85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False,4,0,0,0,1
396,0,3,female,31.0,0,0,7.8542,S,Third,woman,False,,Southampton,no,True,1,0,0,0,1
643,1,3,male,33.17312348668281,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,1,0,1,0,1
172,1,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False,3,1,0,0,1
34,0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False,2,0,1,0,0
233,1,3,female,5.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,7,1,0,0,1
243,0,3,male,22.0,0,0,7.125,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
4,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
773,0,3,male,33.17312348668281,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,1,0,1,0,1
526,1,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,1,0,0,1,0
293,0,3,female,24.0,0,0,8.85,S,Third,woman,False,,Southampton,no,True,1,0,0,0,1
159,0,3,male,33.17312348668281,8,2,69.55,S,Third,man,True,,Southampton,no,False,11,0,1,0,1
92,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,2,0,1,0,0
231,0,3,male,29.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
184,1,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False,3,1,0,0,1
596,1,2,female,32.0,0,0,33.0,S,Second,woman,False,,Southampton,yes,True,1,0,0,1,0
540,1,1,female,36.0,0,2,71.0,S,First,woman,False,B,Southampton,yes,False,3,0,0,0,0
463,0,2,male,48.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
117,0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,2,0,1,1,0
615,1,2,female,24.0,1,2,65.0,S,Second,woman,False,,Southampton,yes,False,4,0,0,1,0
228,0,2,male,18.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
478,0,3,male,22.0,0,0,7.5208,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
630,1,1,male,80.0,0,0,30.0,S,First,man,True,A,Southampton,yes,True,1,0,1,0,0
192,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,,Southampton,yes,False,2,0,0,0,1
238,0,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
716,1,1,female,38.0,0,0,227.525,C,First,woman,False,C,Cherbourg,yes,True,1,0,0,0,0
803,1,3,male,0.42,0,1,8.5167,C,Third,child,False,,Cherbourg,yes,False,2,1,1,0,1
653,1,3,female,32.0,0,0,7.8292,Q,Third,woman,False,,Queenstown,yes,True,1,0,0,0,1
392,0,3,male,28.0,2,0,7.925,S,Third,man,True,,Southampton,no,False,3,0,1,0,1
276,0,3,female,45.0,0,0,7.75,S,Third,woman,False,,Southampton,no,True,1,0,0,0,1
470,0,3,male,33.17312348668281,0,0,7.25,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
834,0,3,male,18.0,0,0,8.3,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
214,0,3,male,33.17312348668281,1,0,7.75,Q,Third,man,True,,Queenstown,no,False,2,0,1,0,1
163,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
640,0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
124,0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,2,0,1,0,0
505,0,1,male,18.0,1,0,108.9,C,First,man,True,C,Cherbourg,no,False,2,0,1,0,0
283,1,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,1,0,1,0,1
108,0,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
405,0,2,male,34.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,2,0,1,1,0
672,0,2,male,70.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
208,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,1,0,0,0,1
101,0,3,male,33.17312348668281,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
527,0,1,male,33.17312348668281,0,0,221.7792,S,First,man,True,C,Southampton,no,True,1,0,1,0,0
844,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
517,0,3,male,33.17312348668281,0,0,24.15,Q,Third,man,True,,Queenstown,no,True,1,0,1,0,1
495,0,3,male,33.17312348668281,0,0,14.4583,C,Third,man,True,,Cherbourg,no,True,1,0,1,0,1
317,0,2,male,54.0,0,0,14.0,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
792,0,3,female,32.0,8,2,69.55,S,Third,woman,False,,Southampton,no,False,11,0,0,0,1
132,0,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False,2,0,0,0,1
340,1,2,male,2.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,3,1,1,1,0
713,0,3,male,29.0,0,0,9.4833,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
497,0,3,male,33.17312348668281,0,0,15.1,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
266,0,3,male,16.0,4,1,39.6875,S,Third,man,True,,Southampton,no,False,6,0,1,0,1
145,0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False,3,0,1,1,0
127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True,1,0,1,0,1
63,0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,6,1,1,0,1
747,1,2,female,30.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,1,0,0,1,0
656,0,3,male,33.17312348668281,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
7,0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,5,1,1,0,1
109,1,3,female,32.0,1,0,24.15,Q,Third,woman,False,,Queenstown,yes,False,2,0,0,0,1
105,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
409,0,3,female,32.0,3,1,25.4667,S,Third,woman,False,,Southampton,no,False,5,0,0,0,1
777,1,3,female,5.0,0,0,12.475,S,Third,child,False,,Southampton,yes,True,1,1,0,0,1
766,0,1,male,33.17312348668281,0,0,39.6,C,First,man,True,,Cherbourg,no,True,1,0,1,0,0
523,1,1,female,44.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False,2,0,0,0,0
475,0,1,male,33.17312348668281,0,0,52.0,S,First,man,True,A,Southampton,no,True,1,0,1,0,0
272,1,2,female,41.0,0,1,19.5,S,Second,woman,False,,Southampton,yes,False,2,0,0,1,0
354,0,3,male,33.17312348668281,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,1,0,1,0,1
122,0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False,2,0,1,1,0
225,0,3,male,22.0,0,0,9.35,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
804,1,3,male,27.0,0,0,6.975,S,Third,man,True,,Southampton,yes,True,1,0,1,0,1
547,1,2,male,33.17312348668281,0,0,13.8625,C,Second,man,True,,Cherbourg,yes,True,1,0,1,1,0
552,0,3,male,33.17312348668281,0,0,7.8292,Q,Third,man,True,,Queenstown,no,True,1,0,1,0,1
692,1,3,male,33.17312348668281,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,1,0,1,0,1
322,1,2,female,30.0,0,0,12.35,Q,Second,woman,False,,Queenstown,yes,True,1,0,0,1,0
482,0,3,male,50.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
606,0,3,male,30.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
598,0,3,male,33.17312348668281,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,1,0,1,0,1
557,0,1,male,33.17312348668281,0,0,227.525,C,First,man,True,,Cherbourg,no,True,1,0,1,0,0
776,0,3,male,33.17312348668281,0,0,7.75,Q,Third,man,True,F,Queenstown,no,True,1,0,1,0,1
886,0,2,male,27.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
115,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
139,0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,1,0,1,0,0
816,0,3,female,23.0,0,0,7.925,S,Third,woman,False,,Southampton,no,True,1,0,0,0,1
121,0,3,male,33.17312348668281,0,0,8.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
379,0,3,male,19.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
452,0,1,male,30.0,0,0,27.75,C,First,man,True,C,Cherbourg,no,True,1,0,1,0,0
583,0,1,male,36.0,0,0,40.125,C,First,man,True,A,Cherbourg,no,True,1,0,1,0,0
136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,3,0,0,0,0
129,0,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
853,1,1,female,16.0,0,1,39.4,S,First,woman,False,D,Southampton,yes,False,2,0,0,0,0
261,1,3,male,3.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,7,1,1,0,1
498,0,1,female,25.0,1,2,151.55,S,First,woman,False,C,Southampton,no,False,4,0,0,0,0
723,0,2,male,50.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
806,0,1,male,39.0,0,0,0.0,S,First,man,True,A,Southampton,no,True,1,0,1,0,0
558,1,1,female,39.0,1,1,79.65,S,First,woman,False,E,Southampton,yes,False,3,0,0,0,0
676,0,3,male,24.5,0,0,8.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
846,0,3,male,33.17312348668281,8,2,69.55,S,Third,man,True,,Southampton,no,False,11,0,1,0,1
376,1,3,female,22.0,0,0,7.25,S,Third,woman,False,,Southampton,yes,True,1,0,0,0,1
133,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,2,0,0,1,0
287,0,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
465,0,3,male,38.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
248,1,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False,3,0,1,0,0
196,0,3,male,33.17312348668281,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,1,0,1,0,1
374,0,3,female,3.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,5,1,0,0,1
338,1,3,male,45.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,1,0,1,0,1
839,1,1,male,33.17312348668281,0,0,29.7,C,First,man,True,C,Cherbourg,yes,True,1,0,1,0,0
381,1,3,female,1.0,0,2,15.7417,C,Third,child,False,,Cherbourg,yes,False,3,1,0,0,1
841,0,2,male,16.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
422,0,3,male,29.0,0,0,7.875,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
675,0,3,male,18.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
464,0,3,male,33.17312348668281,0,0,8.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
494,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
770,0,3,male,24.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
638,0,3,female,41.0,0,5,39.6875,S,Third,woman,False,,Southampton,no,False,6,0,0,0,1
847,0,3,male,35.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,1,0,1,0,1
559,1,3,female,36.0,1,0,17.4,S,Third,woman,False,,Southampton,yes,False,2,0,0,0,1
131,0,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
611,0,3,male,33.17312348668281,0,0,7.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
198,1,3,female,32.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,1,0,0,0,1
450,0,2,male,36.0,1,2,27.75,S,Second,man,True,,Southampton,no,False,4,0,1,1,0
521,0,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
647,1,1,male,56.0,0,0,35.5,C,First,man,True,A,Cherbourg,yes,True,1,0,1,0,0
35,0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False,2,0,1,0,0
546,1,2,female,19.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,2,0,0,1,0
454,0,3,male,33.17312348668281,0,0,8.05,S,Third,man,True,,Southampton,no,True,1,0,1,0,1
155,0,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False,2,0,1,0,0
820,1,1,female,52.0,1,1,93.5,S,First,woman,False,B,Southampton,yes,False,3,0,0,0,0
860,0,3,male,41.0,2,0,14.1083,S,Third,man,True,,Southampton,no,False,3,0,1,0,1
808,0,2,male,39.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,1,0,1,1,0
328,1,3,female,31.0,1,1,20.525,S,Third,woman,False,,Southampton,yes,False,3,0,0,0,1
740,1,1,male,33.17312348668281,0,0,30.0,S,First,man,True,D,Southampton,yes,True,1,0,1,0,0
